CIK10,Ticker,Security,DocIndex,DocLink,Description,FilingDate
0000066740,MMM,3M Company,1,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001558370-18-000535 (34 Act)  Size: 42 MB",2018_02_08
0000066740,MMM,3M Company,2,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001558370-17-000479 (34 Act)  Size: 41 MB",2017_02_09
0000066740,MMM,3M Company,3,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001558370-16-003162 (34 Act)  Size: 40 MB",2016_02_11
0000066740,MMM,3M Company,4,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-15-009560 (34 Act)  Size: 37 MB",2015_02_12
0000066740,MMM,3M Company,5,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-14-009773 (34 Act)  Size: 36 MB",2014_02_13
0000066740,MMM,3M Company,6,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-13-010881 (34 Act)  Size: 35 MB",2013_02_14
0000066740,MMM,3M Company,7,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566-index.htm,"[Cover]Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-12-010566 (34 Act)  Size: 43 MB",2012_02_16
0000066740,MMM,3M Company,8,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-11-007845 (34 Act)  Size: 53 MB",2011_02_16
0000066740,MMM,3M Company,9,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-10-007295 (34 Act)  Size: 12 MB",2010_02_16
0000066740,MMM,3M Company,10,https://www.sec.gov/Archives/edgar/data/66740/000110465909009669/0001104659-09-009669-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-09-009669 (34 Act)  Size: 4 MB",2009_02_17
