A0P0,A0P1,A0P2,A1P0,A1P1,A1P2,A2P0,A2P1,A2P2,acc,f1_0,f1_1,f1_2,f1_all,model,prec_0,prec_1,prec_2,prec_all,rec_0,rec_1,rec_2,rec_all,rnd_ct,sup_0,sup_1,sup_2,sup_all,trtest
59,70,6,66,242,22,18,169,48,0.49857142857142855,0.42446043165467634,0.59679408138101109,0.30868167202572344,0.46683485436451422,LM,0.41258741258741261,0.50311850311850315,0.63157894736842102,0.52878494194283665,0.43703703703703706,0.73333333333333328,0.20425531914893616,0.49857142857142855,1,135,330,235,700,TR
21,32,5,32,106,11,7,66,20,0.48999999999999999,0.3559322033898305,0.60056657223796039,0.31007751937984496,0.46321898787463955,LM,0.34999999999999998,0.51960784313725494,0.55555555555555558,0.49796078431372542,0.36206896551724138,0.71140939597315433,0.21505376344086022,0.48999999999999999,1,58,149,93,300,TE
42,42,51,13,274,43,18,64,153,0.67000000000000004,0.40384615384615385,0.77183098591549293,0.63485477178423244,0.65487761070091166,GV,0.57534246575342463,0.72105263157894739,0.61943319838056676,0.65883628988171161,0.31111111111111112,0.83030303030303032,0.65106382978723409,0.67000000000000004,1,135,330,235,700,TR
13,11,34,7,118,24,17,35,41,0.57333333333333336,0.27368421052631575,0.75399361022364209,0.42708333333333331,0.55979160711282994,GV,0.35135135135135137,0.71951219512195119,0.41414141414141414,0.553669489889002,0.22413793103448276,0.79194630872483218,0.44086021505376344,0.57333333333333336,1,58,149,93,300,TE
15,11,109,0,312,18,4,37,194,0.74428571428571433,0.19480519480519479,0.90434782608695663,0.69784172661870503,0.69818041380398954,NN,0.78947368421052633,0.8666666666666667,0.60436137071651086,0.76371981355257312,0.1111111111111111,0.94545454545454544,0.82553191489361699,0.74428571428571433,1,135,330,235,700,TR
4,10,44,1,122,26,3,33,57,0.60999999999999999,0.1212121212121212,0.77707006369426757,0.51818181818181819,0.57001550537219337,NN,0.5,0.73939393939393938,0.44881889763779526,0.60303284816670655,0.068965517241379309,0.81879194630872487,0.61290322580645162,0.60999999999999999,1,58,149,93,300,TE
54,70,9,75,241,18,15,168,50,0.49285714285714288,0.38989169675090257,0.59286592865928667,0.32258064516129031,0.46433443737521768,LM,0.375,0.50313152400835071,0.64935064935064934,0.52745661473927208,0.40601503759398494,0.72155688622754488,0.21459227467811159,0.49285714285714288,2,133,334,233,700,TR
26,32,2,23,107,15,10,67,18,0.5033333333333333,0.43697478991596644,0.60968660968660982,0.27692307692307694,0.46976912702402907,LM,0.44067796610169491,0.51941747572815533,0.51428571428571423,0.50204451601275701,0.43333333333333335,0.73793103448275865,0.18947368421052632,0.5033333333333333,2,60,145,95,300,TE
56,31,46,14,266,54,32,62,139,0.65857142857142859,0.47659574468085103,0.76767676767676774,0.58898305084745761,0.65289189327721597,GV,0.5490196078431373,0.74094707520891367,0.58158995815899583,0.65143770173422921,0.42105263157894735,0.79640718562874246,0.59656652360515017,0.65857142857142859,2,133,334,233,700,TR
17,19,24,8,116,21,14,26,55,0.62666666666666671,0.34343434343434343,0.75816993464052296,0.5641025641025641,0.61376814906226673,GV,0.4358974358974359,0.72049689440993792,0.55000000000000004,0.60958631947762376,0.28333333333333333,0.80000000000000004,0.57894736842105265,0.62666666666666671,2,60,145,95,300,TE
24,13,96,4,304,26,12,44,177,0.72142857142857142,0.2774566473988439,0.87482014388489204,0.66541353383458657,0.69161859363579836,NN,0.59999999999999998,0.84210526315789469,0.59197324414715724,0.71284703397289217,0.18045112781954886,0.91017964071856283,0.75965665236051505,0.72142857142857142,2,133,334,233,700,TR
8,13,39,2,114,29,7,27,61,0.60999999999999999,0.20779220779220781,0.76254180602006683,0.54464285714285721,0.58259055256337855,NN,0.47058823529411764,0.74025974025974028,0.47286821705426357,0.60165145691821487,0.13333333333333333,0.78620689655172415,0.64210526315789473,0.60999999999999999,2,60,145,95,300,TE
52,74,6,72,237,29,15,164,51,0.48571428571428571,0.38376383763837635,0.58302583025830257,0.32278481012658228,0.45994294789240842,LM,0.37410071942446044,0.49894736842105264,0.59302325581395354,0.50631550618221988,0.39393939393939392,0.70118343195266275,0.22173913043478261,0.48571428571428571,3,132,338,230,700,TR
28,28,5,26,111,4,10,71,17,0.52000000000000002,0.44799999999999995,0.63247863247863245,0.27419354838709675,0.47792818307140889,LM,0.4375,0.52857142857142858,0.65384615384615385,0.55097664835164839,0.45901639344262296,0.78723404255319152,0.17346938775510204,0.52000000000000002,3,61,141,98,300,TE
32,34,66,11,266,61,12,45,173,0.67285714285714282,0.34224598930481281,0.77891654465592985,0.65283018867924525,0.65514458011166576,GV,0.58181818181818179,0.77101449275362322,0.57666666666666666,0.67148033126294004,0.24242424242424243,0.78698224852071008,0.75217391304347825,0.67285714285714282,3,132,338,230,700,TR
8,16,37,1,113,27,9,34,55,0.58666666666666667,0.20253164556962025,0.74342105263157898,0.50691244239631339,0.55618072718546052,GV,0.44444444444444442,0.69325153374233128,0.46218487394957986,0.56717898338612882,0.13114754098360656,0.8014184397163121,0.56122448979591832,0.58666666666666667,3,61,141,98,300,TE
1,10,121,0,297,41,0,11,219,0.73857142857142855,0.015037593984962407,0.90548780487804881,0.71685761047463181,0.67559584409137263,NN,1.0,0.93396226415094341,0.57480314960629919,0.82840567098923945,0.007575757575757576,0.87869822485207105,0.95217391304347831,0.73857142857142855,3,132,338,230,700,TR
1,14,46,1,108,32,0,29,69,0.59333333333333338,0.031746031746031744,0.73972602739726023,0.56326530612244896,0.53812625933173874,NN,0.5,0.71523178807947019,0.46938775510204084,0.59115894039735106,0.016393442622950821,0.76595744680851063,0.70408163265306123,0.59333333333333338,3,61,141,98,300,TE
51,76,9,66,231,23,19,177,48,0.47142857142857142,0.375,0.57462686567164178,0.29629629629629628,0.43882413330174519,LM,0.375,0.47727272727272729,0.59999999999999998,0.50018181818181817,0.375,0.72187500000000004,0.19672131147540983,0.47142857142857142,4,136,320,244,700,TR
29,26,2,32,117,10,6,58,20,0.55333333333333334,0.467741935483871,0.65000000000000002,0.34482758620689652,0.52992269187986651,LM,0.43283582089552236,0.58208955223880599,0.625,0.5657462686567164,0.50877192982456143,0.73584905660377353,0.23809523809523808,0.55333333333333334,4,57,159,84,300,TE
42,27,67,6,258,56,29,53,162,0.66000000000000003,0.39436619718309862,0.78419452887537988,0.61247637051039694,0.64860040923079976,GV,0.54545454545454541,0.76331360946745563,0.56842105263157894,0.65305272864787034,0.30882352941176472,0.80625000000000002,0.66393442622950816,0.66000000000000003,4,136,320,244,700,TR
12,13,32,8,123,28,12,23,49,0.61333333333333329,0.2696629213483146,0.77358490566037752,0.50777202072538863,0.60341212085928875,GV,0.375,0.77358490566037741,0.44954128440366975,0.6071215596330275,0.21052631578947367,0.77358490566037741,0.58333333333333337,0.61333333333333329,4,57,159,84,300,TE
5,6,125,0,301,19,0,25,219,0.75,0.070921985815602828,0.92331288343558282,0.72158154859967061,0.68738772946946869,NN,1.0,0.90662650602409633,0.60330578512396693,0.81903870499708398,0.036764705882352942,0.94062500000000004,0.89754098360655743,0.75,4,136,320,244,700,TR
0,12,45,1,118,40,0,17,67,0.6166666666666667,0.0,0.77124183006535951,0.56779661016949157,0.56774122078209821,NN,0.0,0.80272108843537415,0.44078947368421051,0.54886322950232724,0.0,0.74213836477987416,0.79761904761904767,0.6166666666666667,4,57,159,84,300,TE
57,72,8,68,239,25,21,161,49,0.49285714285714288,0.40282685512367489,0.5945273631840795,0.31309904153354629,0.46413748903329582,LM,0.3904109589041096,0.50635593220338981,0.59756097560975607,0.51376150889606009,0.41605839416058393,0.71987951807228912,0.21212121212121213,0.49285714285714288,5,137,332,231,700,TR
23,30,3,30,109,8,4,74,19,0.5033333333333333,0.40707964601769908,0.60555555555555551,0.29921259842519687,0.46945582963633969,LM,0.40350877192982454,0.51173708920187788,0.6333333333333333,0.5308505889135986,0.4107142857142857,0.74149659863945583,0.19587628865979381,0.5033333333333333,5,56,147,97,300,TE
34,44,59,10,277,45,21,65,145,0.65142857142857147,0.3366336633663366,0.77158774373259054,0.60416666666666663,0.63121206114344031,GV,0.52307692307692311,0.71761658031088082,0.58232931726907633,0.63489759344843932,0.24817518248175183,0.83433734939759041,0.62770562770562766,0.65142857142857147,5,137,332,231,700,TR
10,16,30,2,117,28,12,34,51,0.59333333333333338,0.25,0.74522292993630579,0.49514563106796122,0.57192298971409727,GV,0.41666666666666669,0.70059880239520955,0.46788990825688076,0.57235559462115526,0.17857142857142858,0.79591836734693877,0.52577319587628868,0.59333333333333338,5,56,147,97,300,TE
15,16,106,1,314,17,3,36,192,0.74428571428571433,0.19230769230769232,0.89971346704871047,0.70329670329670346,0.69644651909694888,NN,0.78947368421052633,0.85792349726775952,0.60952380952380958,0.76255499404248306,0.10948905109489052,0.94578313253012047,0.83116883116883122,0.74428571428571433,5,137,332,231,700,TR
5,15,36,0,120,27,3,39,55,0.59999999999999998,0.15625,0.74766355140186924,0.51162790697674421,0.56094816344272991,NN,0.625,0.68965517241379315,0.46610169491525422,0.60530391583869081,0.089285714285714288,0.81632653061224492,0.5670103092783505,0.59999999999999998,5,56,147,97,300,TE
58,70,7,68,242,20,19,164,52,0.50285714285714289,0.41428571428571426,0.60049627791563265,0.33121019108280253,0.47418105435026964,LM,0.40000000000000002,0.50840336134453779,0.65822784810126578,0.53779521935356411,0.42962962962962964,0.73333333333333328,0.22127659574468084,0.50285714285714289,6,135,330,235,700,TR
22,32,4,30,106,13,6,71,16,0.47999999999999998,0.37931034482758619,0.59217877094972071,0.25396825396825395,0.44617894830185328,LM,0.37931034482758619,0.50717703349282295,0.48484848484848486,0.47553429027113242,0.37931034482758619,0.71140939597315433,0.17204301075268819,0.47999999999999998,6,58,149,93,300,TE
56,30,49,10,271,49,29,54,152,0.68428571428571427,0.48695652173913034,0.79124087591240877,0.6268041237113402,0.67735369794006062,GV,0.58947368421052626,0.76338028169014083,0.60799999999999998,0.67767777189452494,0.4148148148148148,0.82121212121212117,0.64680851063829792,0.68428571428571427,6,135,330,235,700,TR
9,20,29,6,105,38,13,24,56,0.56666666666666665,0.20930232558139536,0.70469798657718119,0.5185185185185186,0.55120585701981051,GV,0.32142857142857145,0.70469798657718119,0.45528455284552843,0.55328106852497094,0.15517241379310345,0.70469798657718119,0.60215053763440862,0.56666666666666665,6,58,149,93,300,TE
104,3,28,12,305,13,58,17,160,0.81285714285714283,0.67313915857605189,0.93129770992366412,0.7339449541284403,0.81525584986108524,NN,0.5977011494252874,0.93846153846153846,0.79601990049751248,0.82492377068805267,0.77037037037037037,0.9242424242424242,0.68085106382978722,0.81285714285714283,6,135,330,235,700,TR
20,11,27,17,108,24,35,23,35,0.54333333333333333,0.30769230769230771,0.74226804123711332,0.39106145251396651,0.54937602358094206,NN,0.27777777777777779,0.76056338028169013,0.40697674418604651,0.55761297327461756,0.34482758620689657,0.72483221476510062,0.37634408602150538,0.54333333333333333,6,58,149,93,300,TE
57,67,6,66,246,30,13,165,50,0.50428571428571434,0.42857142857142855,0.59999999999999998,0.31847133757961782,0.47646535811776941,LM,0.41911764705882354,0.5146443514644351,0.58139534883720934,0.51864543121909656,0.43846153846153846,0.7192982456140351,0.21929824561403508,0.50428571428571434,7,130,342,228,700,TR
23,35,5,32,102,3,12,70,18,0.47666666666666668,0.35384615384615387,0.59302325581395354,0.28571428571428575,0.4403597410341597,LM,0.34328358208955223,0.49275362318840582,0.69230769230769229,0.52788293759740879,0.36507936507936506,0.74452554744525545,0.17999999999999999,0.47666666666666668,7,63,137,100,300,TE
48,35,47,13,295,34,28,71,129,0.67428571428571427,0.43835616438356162,0.79407806191117092,0.58904109589041087,0.6612319548664245,GV,0.5393258426966292,0.73566084788029928,0.61428571428571432,0.65966501768966712,0.36923076923076925,0.86257309941520466,0.56578947368421051,0.67428571428571427,7,130,342,228,700,TR
17,21,25,7,112,18,18,45,37,0.55333333333333334,0.32380952380952377,0.71111111111111103,0.41111111111111109,0.52977777777777779,GV,0.40476190476190477,0.6292134831460674,0.46250000000000002,0.5265074906367041,0.26984126984126983,0.81751824817518248,0.37,0.55333333333333334,7,63,137,100,300,TE
24,14,92,3,312,27,13,38,177,0.73285714285714287,0.28235294117647058,0.88385269121813037,0.67557251908396942,0.70430576728669536,NN,0.59999999999999998,0.8571428571428571,0.59797297297297303,0.72497242140099272,0.18461538461538463,0.91228070175438591,0.77631578947368418,0.73285714285714287,7,130,342,228,700,TR
6,13,44,5,100,32,11,21,68,0.57999999999999996,0.14117647058823529,0.73800738007380084,0.55737704918032782,0.55246277878400774,NN,0.27272727272727271,0.74626865671641796,0.47222222222222221,0.55547615458063226,0.095238095238095233,0.72992700729927007,0.68000000000000005,0.57999999999999996,7,63,137,100,300,TE
54,72,8,71,254,23,16,152,50,0.51142857142857145,0.39272727272727276,0.61501210653753025,0.33444816053511706,0.48508480945310078,LM,0.38297872340425532,0.53138075313807531,0.61728395061728392,0.52972507466112628,0.40298507462686567,0.72988505747126442,0.22935779816513763,0.51142857142857145,8,134,348,218,700,TR
26,30,3,27,94,10,9,83,18,0.46000000000000002,0.42975206611570249,0.55621301775147935,0.25531914893617019,0.42101461203082985,LM,0.41935483870967744,0.45410628019323673,0.58064516129032262,0.49366941977040163,0.44067796610169491,0.71755725190839692,0.16363636363636364,0.46000000000000002,8,59,131,110,300,TE
44,38,52,10,292,46,27,68,123,0.65571428571428569,0.40930232558139534,0.78284182305630035,0.56036446469248291,0.6420498847920868,GV,0.54320987654320985,0.73366834170854267,0.5565610859728507,0.64205289016206346,0.32835820895522388,0.83908045977011492,0.56422018348623848,0.65571428571428569,8,134,348,218,700,TR
23,19,17,8,98,25,20,30,60,0.60333333333333339,0.41818181818181821,0.70503597122302164,0.56603773584905659,0.59765530148779777,GV,0.45098039215686275,0.66666666666666663,0.58823529411764708,0.59549019607843134,0.38983050847457629,0.74809160305343514,0.54545454545454541,0.60333333333333339,8,59,131,110,300,TE
54,6,74,7,311,30,17,16,185,0.7857142857142857,0.50943396226415083,0.91336270190895741,0.72978303747534534,0.7788672476819124,NN,0.69230769230769229,0.93393393393393398,0.64013840830449831,0.79618344684088638,0.40298507462686567,0.89367816091954022,0.84862385321100919,0.7857142857142857,8,134,348,218,700,TR
10,11,38,3,91,37,20,28,62,0.54333333333333333,0.21739130434782608,0.69731800766283514,0.50202429149797567,0.53132472675043485,NN,0.30303030303030304,0.69999999999999996,0.45255474452554745,0.53119936592199357,0.16949152542372881,0.69465648854961837,0.5636363636363636,0.54333333333333333,8,59,131,110,300,TE
53,73,9,71,242,26,17,155,54,0.49857142857142855,0.38405797101449274,0.59826946847960438,0.34285714285714292,0.47449555741036664,LM,0.37588652482269502,0.51489361702127656,0.6067415730337079,0.51773887503842075,0.3925925925925926,0.71386430678466073,0.23893805309734514,0.49857142857142855,9,135,339,226,700,TR
27,29,2,27,106,7,8,80,14,0.48999999999999999,0.45000000000000001,0.59718309859154928,0.22400000000000006,0.44184544600938969,LM,0.43548387096774194,0.49302325581395351,0.60869565217391308,0.52122758950607218,0.46551724137931033,0.75714285714285712,0.13725490196078433,0.48999999999999999,9,58,140,102,300,TE
36,51,48,5,299,35,19,79,128,0.66142857142857148,0.36923076923076925,0.77864583333333348,0.58581235697940504,0.63742954860499923,GV,0.59999999999999998,0.69696969696969702,0.60663507109004744,0.64910321905582569,0.26666666666666666,0.88200589970501475,0.5663716814159292,0.66142857142857148,9,135,339,226,700,TR
10,21,27,5,120,15,18,43,41,0.56999999999999995,0.21978021978021978,0.7407407407407407,0.44324324324324321,0.53887255753922414,GV,0.30303030303030304,0.65217391304347827,0.49397590361445781,0.53088549190173073,0.17241379310344829,0.8571428571428571,0.40196078431372551,0.56999999999999995,9,58,140,102,300,TE
13,6,116,0,289,50,1,4,221,0.74714285714285711,0.17449664429530201,0.90595611285266464,0.72104404567699842,0.70518874794274389,NN,0.9285714285714286,0.96655518394648832,0.57105943152454786,0.83154111677078602,0.096296296296296297,0.85250737463126847,0.97787610619469023,0.74714285714285711,9,135,339,226,700,TR
1,9,48,1,93,46,1,15,86,0.59999999999999998,0.032786885245901641,0.72373540856031116,0.60992907801418439,0.55145787500050891,NN,0.33333333333333331,0.79487179487179482,0.4777777777777778,0.59782905982905976,0.017241379310344827,0.66428571428571426,0.84313725490196079,0.59999999999999998,9,58,140,102,300,TE
53,72,5,67,248,21,19,161,54,0.50714285714285712,0.39405204460966547,0.60709914320685432,0.3439490445859873,0.47956593478554366,LM,0.38129496402877699,0.51559251559251562,0.67500000000000004,0.54393918651832318,0.40769230769230769,0.73809523809523814,0.23076923076923078,0.50714285714285712,10,130,336,234,700,TR
27,30,6,31,100,12,6,74,14,0.46999999999999997,0.42519685039370075,0.57636887608069165,0.22222222222222218,0.4336567991441031,LM,0.421875,0.49019607843137253,0.4375,0.45933721405228756,0.42857142857142855,0.69930069930069927,0.14893617021276595,0.46999999999999997,10,63,143,94,300,TE
53,27,50,16,256,64,32,44,158,0.66714285714285715,0.45887445887445888,0.77224736048265463,0.624505928853755,0.66466168589661456,GV,0.52475247524752477,0.78287461773700306,0.58088235294117652,0.66741451990006662,0.40769230769230769,0.76190476190476186,0.67521367521367526,0.66714285714285715,10,130,336,234,700,TR
13,13,37,12,104,27,13,26,55,0.57333333333333336,0.25742574257425743,0.72727272727272729,0.51643192488262912,0.56254140907048455,GV,0.34210526315789475,0.72727272727272729,0.46218487394957986,0.563326699100693,0.20634920634920634,0.72727272727272729,0.58510638297872342,0.57333333333333336,10,63,143,94,300,TE
